condition,model,dataset,strategy,n,correct,accuracy,empty_myanswer,n_debate,n_no_debate,debate_rate,n_disagree,c_recoverable,acc_debate,recovery,acc_no_debate,file
challenge_EN,Deepseek,CommenseQA,Challenge,6000,4911,0.8185,3,517,5483,0.08616666666666667,517,0.8123791102514507,0.5241779497098646,0.29047619047619055,0.8462520517964618,Deepseek_CommenseQA_Challenge.json
challenge_EN,GPT 4.1 mini,CommenseQA,Challenge,6000,4828,0.8046666666666666,0,485,5515,0.08083333333333333,485,0.8185567010309278,0.5257731958762887,0.2846347607052897,0.829193109700816,GPT 4.1 mini_CommenseQA_Challenge.json
challenge_EN,QWEN 3-8b,CommenseQA,Challenge,6000,4647,0.7745,0,428,5572,0.07133333333333333,428,0.822429906542056,0.4766355140186916,0.15909090909090917,0.7973797559224695,QWEN 3-8b_CommenseQA_Challenge.json
challenge_EN,Deepseek,MMLU,Challenge,5938,5413,0.9115863927248232,4,253,5685,0.04260693836308521,253,0.8102766798418972,0.5533596837944664,0.36585365853658547,0.9275285839929639,Deepseek_MMLU_Challenge.json
challenge_EN,GPT 4.1 mini,MMLU,Challenge,5938,5273,0.888009430784776,0,307,5631,0.0517009093971034,307,0.8338762214983714,0.5667752442996743,0.359375,0.9055229976913515,GPT 4.1 mini_MMLU_Challenge.json
challenge_EN,QWEN 3-8b,MMLU,Challenge,5938,4696,0.7908386662175817,3,485,5453,0.08167733243516336,485,0.7876288659793814,0.49690721649484537,0.26178010471204205,0.8169814780854575,QWEN 3-8b_MMLU_Challenge.json
challenge_EN,Deepseek,MathQA,Challenge,2985,2725,0.9128978224455612,5,117,2868,0.03919597989949749,117,0.7521367521367521,0.5128205128205128,0.36363636363636354,0.9292189679218968,Deepseek_MathQA_Challenge.json
challenge_EN,GPT 4.1 mini,MathQA,Challenge,2985,2690,0.9011725293132329,0,175,2810,0.05862646566164154,175,0.6514285714285715,0.42857142857142855,0.3157894736842104,0.9306049822064056,GPT 4.1 mini_MathQA_Challenge.json
challenge_EN,QWEN 3-8b,MathQA,Challenge,2985,2487,0.8331658291457287,2,367,2618,0.12294807370184255,367,0.7084468664850136,0.5340599455040872,0.5076923076923077,0.8750954927425516,QWEN 3-8b_MathQA_Challenge.json
challenge_EN,Deepseek,TruthfulQA,Challenge,817,700,0.8567931456548348,0,63,754,0.07711138310893513,63,0.7936507936507936,0.5238095238095238,0.32000000000000006,0.8846153846153846,Deepseek_TruthfulQA_Challenge.json
challenge_EN,GPT 4.1 mini,TruthfulQA,Challenge,817,693,0.8482252141982864,0,62,755,0.07588739290085679,62,0.6935483870967742,0.45161290322580644,0.3023255813953487,0.8807947019867549,GPT 4.1 mini_TruthfulQA_Challenge.json
challenge_EN,QWEN 3-8b,TruthfulQA,Challenge,817,620,0.758873929008568,1,93,724,0.11383108935128519,93,0.6344086021505376,0.44086021505376344,0.38983050847457634,0.7997237569060773,QWEN 3-8b_TruthfulQA_Challenge.json
