model,dataset,cell,l1,l2,pair,pair_acc,mono_l1,mono_l2,max_mono,min_mono,gap,mean_mono,excess
deepseek,truthfulqa,deepseek|truthfulqa,japanese,russian,japanese_vs_russian,0.8825,0.8727,0.8556,0.8727,0.8556,0.017100000000000004,0.86415,0.00979999999999992
deepseek,truthfulqa,deepseek|truthfulqa,japanese,spanish,japanese_vs_spanish,0.8874,0.8727,0.8519,0.8727,0.8519,0.02080000000000004,0.8623000000000001,0.014699999999999935
deepseek,truthfulqa,deepseek|truthfulqa,russian,spanish,russian_vs_spanish,0.8837,0.8556,0.8519,0.8556,0.8519,0.0037000000000000366,0.85375,0.028100000000000014
gemini,commonsenseqa,gemini|commonsenseqa,chinese,japanese,chinese_vs_japanese,0.74,0.711,0.71,0.711,0.71,0.0010000000000000009,0.7104999999999999,0.029000000000000026
gemini,commonsenseqa,gemini|commonsenseqa,chinese,russian,chinese_vs_russian,0.729,0.711,0.713,0.713,0.711,0.0020000000000000018,0.712,0.016000000000000014
gemini,commonsenseqa,gemini|commonsenseqa,chinese,spanish,chinese_vs_spanish,0.7455,0.711,0.7355,0.7355,0.711,0.024500000000000077,0.72325,0.010000000000000009
gemini,commonsenseqa,gemini|commonsenseqa,english,chinese,english_vs_chinese,0.768,0.7385,0.711,0.7385,0.711,0.02750000000000008,0.72475,0.02949999999999997
gemini,commonsenseqa,gemini|commonsenseqa,english,japanese,english_vs_japanese,0.782,0.7385,0.71,0.7385,0.71,0.02850000000000008,0.7242500000000001,0.04349999999999998
gemini,commonsenseqa,gemini|commonsenseqa,english,russian,english_vs_russian,0.773,0.7385,0.713,0.7385,0.713,0.025500000000000078,0.72575,0.034499999999999975
gemini,commonsenseqa,gemini|commonsenseqa,english,spanish,english_vs_spanish,0.781,0.7385,0.7355,0.7385,0.7355,0.0030000000000000027,0.7370000000000001,0.04249999999999998
gemini,commonsenseqa,gemini|commonsenseqa,japanese,russian,japanese_vs_russian,0.744,0.71,0.713,0.713,0.71,0.0030000000000000027,0.7115,0.031000000000000028
gemini,commonsenseqa,gemini|commonsenseqa,japanese,spanish,japanese_vs_spanish,0.752,0.71,0.7355,0.7355,0.71,0.025500000000000078,0.72275,0.01649999999999996
gemini,commonsenseqa,gemini|commonsenseqa,russian,spanish,russian_vs_spanish,0.7425,0.713,0.7355,0.7355,0.713,0.022500000000000075,0.7242500000000001,0.007000000000000006
gemini,mathqa,gemini|mathqa,chinese,japanese,chinese_vs_japanese,0.866,0.832,0.8375,0.8375,0.832,0.00550000000000006,0.83475,0.02849999999999997
gemini,mathqa,gemini|mathqa,chinese,russian,chinese_vs_russian,0.868,0.832,0.842,0.842,0.832,0.010000000000000009,0.837,0.026000000000000023
gemini,mathqa,gemini|mathqa,chinese,spanish,chinese_vs_spanish,0.8685,0.832,0.8485,0.8485,0.832,0.01650000000000007,0.8402499999999999,0.020000000000000018
gemini,mathqa,gemini|mathqa,english,chinese,english_vs_chinese,0.8595,0.798,0.832,0.832,0.798,0.03399999999999992,0.815,0.02750000000000008
gemini,mathqa,gemini|mathqa,english,japanese,english_vs_japanese,0.8595,0.798,0.8375,0.8375,0.798,0.03949999999999998,0.81775,0.02200000000000002
gemini,mathqa,gemini|mathqa,english,russian,english_vs_russian,0.8605,0.798,0.842,0.842,0.798,0.04399999999999993,0.8200000000000001,0.018500000000000072
gemini,mathqa,gemini|mathqa,english,spanish,english_vs_spanish,0.861,0.798,0.8485,0.8485,0.798,0.05049999999999999,0.82325,0.012499999999999956
gemini,mathqa,gemini|mathqa,japanese,russian,japanese_vs_russian,0.8655,0.8375,0.842,0.842,0.8375,0.0044999999999999485,0.83975,0.023500000000000076
gemini,mathqa,gemini|mathqa,japanese,spanish,japanese_vs_spanish,0.874,0.8375,0.8485,0.8485,0.8375,0.01100000000000001,0.843,0.025499999999999967
gemini,mathqa,gemini|mathqa,russian,spanish,russian_vs_spanish,0.869,0.842,0.8485,0.8485,0.842,0.006500000000000061,0.8452500000000001,0.020499999999999963
gemini,mmlu,gemini|mmlu,chinese,japanese,chinese_vs_japanese,0.844,0.8225,0.8135,0.8225,0.8135,0.009000000000000008,0.8180000000000001,0.021499999999999964
gemini,mmlu,gemini|mmlu,chinese,russian,chinese_vs_russian,0.848,0.8225,0.82,0.8225,0.82,0.0025000000000000577,0.82125,0.025499999999999967
gemini,mmlu,gemini|mmlu,chinese,spanish,chinese_vs_spanish,0.8545,0.8225,0.826,0.826,0.8225,0.0034999999999999476,0.8242499999999999,0.02850000000000008
gemini,mmlu,gemini|mmlu,english,chinese,english_vs_chinese,0.8645,0.8165,0.8225,0.8225,0.8165,0.006000000000000005,0.8195,0.04200000000000004
gemini,mmlu,gemini|mmlu,english,japanese,english_vs_japanese,0.8565,0.8165,0.8135,0.8165,0.8135,0.0030000000000000027,0.815,0.040000000000000036
gemini,mmlu,gemini|mmlu,english,russian,english_vs_russian,0.855,0.8165,0.82,0.82,0.8165,0.0034999999999999476,0.8182499999999999,0.03500000000000003
gemini,mmlu,gemini|mmlu,english,spanish,english_vs_spanish,0.8605,0.8165,0.826,0.826,0.8165,0.009499999999999953,0.82125,0.034500000000000086
gemini,mmlu,gemini|mmlu,japanese,russian,japanese_vs_russian,0.8445,0.8135,0.82,0.82,0.8135,0.00649999999999995,0.81675,0.024500000000000077
gemini,mmlu,gemini|mmlu,japanese,spanish,japanese_vs_spanish,0.853,0.8135,0.826,0.826,0.8135,0.012499999999999956,0.81975,0.027000000000000024
gemini,mmlu,gemini|mmlu,russian,spanish,russian_vs_spanish,0.8525,0.82,0.826,0.826,0.82,0.006000000000000005,0.823,0.02650000000000008
gemini,truthfulqa,gemini|truthfulqa,chinese,japanese,chinese_vs_japanese,0.8237,0.776,0.7931,0.7931,0.776,0.017100000000000004,0.7845500000000001,0.03059999999999996
gemini,truthfulqa,gemini|truthfulqa,chinese,russian,chinese_vs_russian,0.8152,0.776,0.776,0.776,0.776,0.0,0.776,0.03920000000000001
gemini,truthfulqa,gemini|truthfulqa,chinese,spanish,chinese_vs_spanish,0.8274,0.776,0.7944,0.7944,0.776,0.018399999999999972,0.7852,0.03300000000000003
gemini,truthfulqa,gemini|truthfulqa,english,chinese,english_vs_chinese,0.8262,0.7809,0.776,0.7809,0.776,0.0049000000000000155,0.7784500000000001,0.04530000000000001
gemini,truthfulqa,gemini|truthfulqa,english,japanese,english_vs_japanese,0.8286,0.7809,0.7931,0.7931,0.7809,0.012199999999999989,0.787,0.035499999999999976
gemini,truthfulqa,gemini|truthfulqa,english,russian,english_vs_russian,0.825,0.7809,0.776,0.7809,0.776,0.0049000000000000155,0.7784500000000001,0.04409999999999992
gemini,truthfulqa,gemini|truthfulqa,english,spanish,english_vs_spanish,0.8262,0.7809,0.7944,0.7944,0.7809,0.013499999999999956,0.78765,0.03180000000000005
gemini,truthfulqa,gemini|truthfulqa,japanese,russian,japanese_vs_russian,0.8237,0.7931,0.776,0.7931,0.776,0.017100000000000004,0.7845500000000001,0.03059999999999996
gemini,truthfulqa,gemini|truthfulqa,japanese,spanish,japanese_vs_spanish,0.8335,0.7931,0.7944,0.7944,0.7931,0.0012999999999999678,0.79375,0.039100000000000024
gemini,truthfulqa,gemini|truthfulqa,russian,spanish,russian_vs_spanish,0.8201,0.776,0.7944,0.7944,0.776,0.018399999999999972,0.7852,0.025700000000000056
gpt4omini,commonsenseqa,gpt4omini|commonsenseqa,chinese,japanese,chinese_vs_japanese,0.7005,0.678,0.6915,0.6915,0.678,0.013499999999999956,0.68475,0.009000000000000008
gpt4omini,commonsenseqa,gpt4omini|commonsenseqa,chinese,russian,chinese_vs_russian,0.7065,0.678,0.7055,0.7055,0.678,0.02749999999999997,0.6917500000000001,0.0010000000000000009
gpt4omini,commonsenseqa,gpt4omini|commonsenseqa,chinese,spanish,chinese_vs_spanish,0.712,0.678,0.7265,0.7265,0.678,0.04849999999999999,0.70225,-0.014500000000000068
gpt4omini,commonsenseqa,gpt4omini|commonsenseqa,english,chinese,english_vs_chinese,0.773,0.791,0.678,0.791,0.678,0.11299999999999999,0.7345,-0.018000000000000016
gpt4omini,commonsenseqa,gpt4omini|commonsenseqa,english,japanese,english_vs_japanese,0.777,0.791,0.6915,0.791,0.6915,0.09950000000000003,0.74125,-0.014000000000000012
gpt4omini,commonsenseqa,gpt4omini|commonsenseqa,english,russian,english_vs_russian,0.7715,0.791,0.7055,0.791,0.7055,0.08550000000000002,0.7482500000000001,-0.019500000000000073
gpt4omini,commonsenseqa,gpt4omini|commonsenseqa,english,spanish,english_vs_spanish,0.778,0.791,0.7265,0.791,0.7265,0.0645,0.75875,-0.013000000000000012
gpt4omini,commonsenseqa,gpt4omini|commonsenseqa,japanese,russian,japanese_vs_russian,0.708,0.6915,0.7055,0.7055,0.6915,0.014000000000000012,0.6985,0.0024999999999999467
gpt4omini,commonsenseqa,gpt4omini|commonsenseqa,japanese,spanish,japanese_vs_spanish,0.718,0.6915,0.7265,0.7265,0.6915,0.03500000000000003,0.7090000000000001,-0.008500000000000063
gpt4omini,commonsenseqa,gpt4omini|commonsenseqa,russian,spanish,russian_vs_spanish,0.73,0.7055,0.7265,0.7265,0.7055,0.02100000000000002,0.716,0.0034999999999999476
gpt4omini,mathqa,gpt4omini|mathqa,chinese,japanese,chinese_vs_japanese,0.8065,0.7985,0.766,0.7985,0.766,0.03249999999999997,0.78225,0.008000000000000007
gpt4omini,mathqa,gpt4omini|mathqa,chinese,russian,chinese_vs_russian,0.8235,0.7985,0.8115,0.8115,0.7985,0.013000000000000012,0.8049999999999999,0.01200000000000001
gpt4omini,mathqa,gpt4omini|mathqa,chinese,spanish,chinese_vs_spanish,0.8325,0.7985,0.808,0.808,0.7985,0.009500000000000064,0.80325,0.024499999999999966
gpt4omini,mathqa,gpt4omini|mathqa,english,chinese,english_vs_chinese,0.8435,0.8235,0.7985,0.8235,0.7985,0.025000000000000022,0.8109999999999999,0.020000000000000018
gpt4omini,mathqa,gpt4omini|mathqa,english,japanese,english_vs_japanese,0.8275,0.8235,0.766,0.8235,0.766,0.057499999999999996,0.7947500000000001,0.0040000000000000036
gpt4omini,mathqa,gpt4omini|mathqa,english,russian,english_vs_russian,0.8455,0.8235,0.8115,0.8235,0.8115,0.01200000000000001,0.8175,0.02200000000000002
gpt4omini,mathqa,gpt4omini|mathqa,english,spanish,english_vs_spanish,0.8405,0.8235,0.808,0.8235,0.808,0.015499999999999958,0.81575,0.017000000000000015
gpt4omini,mathqa,gpt4omini|mathqa,japanese,russian,japanese_vs_russian,0.82,0.766,0.8115,0.8115,0.766,0.045499999999999985,0.7887500000000001,0.008499999999999952
gpt4omini,mathqa,gpt4omini|mathqa,japanese,spanish,japanese_vs_spanish,0.8185,0.766,0.808,0.808,0.766,0.04200000000000004,0.787,0.010499999999999954
gpt4omini,mathqa,gpt4omini|mathqa,russian,spanish,russian_vs_spanish,0.8365,0.8115,0.808,0.8115,0.808,0.0034999999999999476,0.80975,0.025000000000000022
gpt4omini,mmlu,gpt4omini|mmlu,chinese,japanese,chinese_vs_japanese,0.763,0.7475,0.751,0.751,0.7475,0.0034999999999999476,0.74925,0.01200000000000001
gpt4omini,mmlu,gpt4omini|mmlu,chinese,russian,chinese_vs_russian,0.7775,0.7475,0.756,0.756,0.7475,0.008499999999999952,0.75175,0.021499999999999964
gpt4omini,mmlu,gpt4omini|mmlu,chinese,spanish,chinese_vs_spanish,0.78,0.7475,0.7735,0.7735,0.7475,0.025999999999999912,0.7605,0.006500000000000061
gpt4omini,mmlu,gpt4omini|mmlu,english,chinese,english_vs_chinese,0.814,0.81,0.7475,0.81,0.7475,0.0625,0.77875,0.0039999999999998925
gpt4omini,mmlu,gpt4omini|mmlu,english,japanese,english_vs_japanese,0.811,0.81,0.751,0.81,0.751,0.05900000000000005,0.7805,0.0010000000000000009
gpt4omini,mmlu,gpt4omini|mmlu,english,russian,english_vs_russian,0.8045,0.81,0.756,0.81,0.756,0.05400000000000005,0.783,-0.00550000000000006
gpt4omini,mmlu,gpt4omini|mmlu,english,spanish,english_vs_spanish,0.8025,0.81,0.7735,0.81,0.7735,0.03650000000000009,0.79175,-0.007500000000000062
gpt4omini,mmlu,gpt4omini|mmlu,japanese,russian,japanese_vs_russian,0.764,0.751,0.756,0.756,0.751,0.0050000000000000044,0.7535000000000001,0.008000000000000007
gpt4omini,mmlu,gpt4omini|mmlu,japanese,spanish,japanese_vs_spanish,0.7815,0.751,0.7735,0.7735,0.751,0.022499999999999964,0.76225,0.008000000000000007
gpt4omini,mmlu,gpt4omini|mmlu,russian,spanish,russian_vs_spanish,0.7835,0.756,0.7735,0.7735,0.756,0.01749999999999996,0.76475,0.010000000000000009
gpt4omini,truthfulqa,gpt4omini|truthfulqa,chinese,japanese,chinese_vs_japanese,0.716,0.7136,0.6916,0.7136,0.6916,0.02200000000000002,0.7026,0.0023999999999999577
gpt4omini,truthfulqa,gpt4omini|truthfulqa,chinese,russian,chinese_vs_russian,0.7209,0.7136,0.6854,0.7136,0.6854,0.028200000000000003,0.6995,0.007299999999999973
gpt4omini,truthfulqa,gpt4omini|truthfulqa,chinese,spanish,chinese_vs_spanish,0.7234,0.7136,0.7075,0.7136,0.7075,0.006099999999999994,0.71055,0.009800000000000031
gpt4omini,truthfulqa,gpt4omini|truthfulqa,english,chinese,english_vs_chinese,0.7356,0.7234,0.7136,0.7234,0.7136,0.009800000000000031,0.7185,0.012199999999999989
gpt4omini,truthfulqa,gpt4omini|truthfulqa,english,japanese,english_vs_japanese,0.7209,0.7234,0.6916,0.7234,0.6916,0.03180000000000005,0.7075,-0.0025000000000000577
gpt4omini,truthfulqa,gpt4omini|truthfulqa,english,russian,english_vs_russian,0.7307,0.7234,0.6854,0.7234,0.6854,0.038000000000000034,0.7044,0.007299999999999973
gpt4omini,truthfulqa,gpt4omini|truthfulqa,english,spanish,english_vs_spanish,0.7319,0.7234,0.7075,0.7234,0.7075,0.015900000000000025,0.71545,0.008499999999999952
gpt4omini,truthfulqa,gpt4omini|truthfulqa,japanese,russian,japanese_vs_russian,0.7099,0.6916,0.6854,0.6916,0.6854,0.006199999999999983,0.6885,0.018299999999999983
gpt4omini,truthfulqa,gpt4omini|truthfulqa,japanese,spanish,japanese_vs_spanish,0.7148,0.6916,0.7075,0.7075,0.6916,0.015900000000000025,0.69955,0.007299999999999973
gpt4omini,truthfulqa,gpt4omini|truthfulqa,russian,spanish,russian_vs_spanish,0.7136,0.6854,0.7075,0.7075,0.6854,0.02210000000000001,0.69645,0.006099999999999994
qwen,commonsenseqa,qwen|commonsenseqa,chinese,japanese,chinese_vs_japanese,0.6865,0.66,0.654,0.66,0.654,0.006000000000000005,0.657,0.026499999999999968
qwen,commonsenseqa,qwen|commonsenseqa,chinese,russian,chinese_vs_russian,0.686,0.66,0.65,0.66,0.65,0.010000000000000009,0.655,0.026000000000000023
qwen,commonsenseqa,qwen|commonsenseqa,chinese,spanish,chinese_vs_spanish,0.686,0.66,0.669,0.669,0.66,0.009000000000000008,0.6645000000000001,0.017000000000000015
qwen,commonsenseqa,qwen|commonsenseqa,english,chinese,english_vs_chinese,0.7535,0.769,0.66,0.769,0.66,0.10899999999999999,0.7145,-0.01550000000000007
qwen,commonsenseqa,qwen|commonsenseqa,english,japanese,english_vs_japanese,0.7585,0.769,0.654,0.769,0.654,0.11499999999999999,0.7115,-0.010500000000000065
qwen,commonsenseqa,qwen|commonsenseqa,english,russian,english_vs_russian,0.746,0.769,0.65,0.769,0.65,0.119,0.7095,-0.02300000000000002
qwen,commonsenseqa,qwen|commonsenseqa,english,spanish,english_vs_spanish,0.756,0.769,0.669,0.769,0.669,0.09999999999999998,0.7190000000000001,-0.013000000000000012
qwen,commonsenseqa,qwen|commonsenseqa,japanese,russian,japanese_vs_russian,0.6855,0.654,0.65,0.654,0.65,0.0040000000000000036,0.652,0.03149999999999997
qwen,commonsenseqa,qwen|commonsenseqa,japanese,spanish,japanese_vs_spanish,0.6985,0.654,0.669,0.669,0.654,0.015000000000000013,0.6615,0.02949999999999997
qwen,commonsenseqa,qwen|commonsenseqa,russian,spanish,russian_vs_spanish,0.6835,0.65,0.669,0.669,0.65,0.019000000000000017,0.6595,0.014499999999999957
qwen,mathqa,qwen|mathqa,chinese,japanese,chinese_vs_japanese,0.8275,0.772,0.7725,0.7725,0.772,0.0004999999999999449,0.77225,0.05500000000000005
qwen,mathqa,qwen|mathqa,chinese,russian,chinese_vs_russian,0.833,0.772,0.807,0.807,0.772,0.03500000000000003,0.7895000000000001,0.025999999999999912
qwen,mathqa,qwen|mathqa,chinese,spanish,chinese_vs_spanish,0.833,0.772,0.809,0.809,0.772,0.03700000000000003,0.7905,0.02399999999999991
qwen,mathqa,qwen|mathqa,english,chinese,english_vs_chinese,0.8275,0.8135,0.772,0.8135,0.772,0.04149999999999998,0.7927500000000001,0.014000000000000012
qwen,mathqa,qwen|mathqa,english,japanese,english_vs_japanese,0.843,0.8135,0.7725,0.8135,0.7725,0.041000000000000036,0.7929999999999999,0.02949999999999997
qwen,mathqa,qwen|mathqa,english,russian,english_vs_russian,0.841,0.8135,0.807,0.8135,0.807,0.00649999999999995,0.81025,0.02749999999999997
qwen,mathqa,qwen|mathqa,english,spanish,english_vs_spanish,0.8425,0.8135,0.809,0.8135,0.809,0.0044999999999999485,0.81125,0.029000000000000026
qwen,mathqa,qwen|mathqa,japanese,russian,japanese_vs_russian,0.8345,0.7725,0.807,0.807,0.7725,0.034500000000000086,0.78975,0.02749999999999997
qwen,mathqa,qwen|mathqa,japanese,spanish,japanese_vs_spanish,0.839,0.7725,0.809,0.809,0.7725,0.03650000000000009,0.7907500000000001,0.029999999999999916
qwen,mathqa,qwen|mathqa,russian,spanish,russian_vs_spanish,0.844,0.807,0.809,0.809,0.807,0.0020000000000000018,0.808,0.03499999999999992
qwen,mmlu,qwen|mmlu,chinese,japanese,chinese_vs_japanese,0.758,0.7315,0.713,0.7315,0.713,0.018500000000000072,0.7222500000000001,0.026499999999999968
qwen,mmlu,qwen|mmlu,chinese,russian,chinese_vs_russian,0.7675,0.7315,0.7335,0.7335,0.7315,0.0020000000000000018,0.7325,0.03399999999999992
qwen,mmlu,qwen|mmlu,chinese,spanish,chinese_vs_spanish,0.761,0.7315,0.734,0.734,0.7315,0.0024999999999999467,0.73275,0.027000000000000024
qwen,mmlu,qwen|mmlu,english,chinese,english_vs_chinese,0.7915,0.7775,0.7315,0.7775,0.7315,0.04599999999999993,0.7545,0.014000000000000012
qwen,mmlu,qwen|mmlu,english,japanese,english_vs_japanese,0.785,0.7775,0.713,0.7775,0.713,0.0645,0.74525,0.007500000000000062
qwen,mmlu,qwen|mmlu,english,russian,english_vs_russian,0.7915,0.7775,0.7335,0.7775,0.7335,0.04399999999999993,0.7555000000000001,0.014000000000000012
qwen,mmlu,qwen|mmlu,english,spanish,english_vs_spanish,0.7875,0.7775,0.734,0.7775,0.734,0.04349999999999998,0.7557499999999999,0.010000000000000009
qwen,mmlu,qwen|mmlu,japanese,russian,japanese_vs_russian,0.7635,0.713,0.7335,0.7335,0.713,0.020500000000000074,0.72325,0.029999999999999916
qwen,mmlu,qwen|mmlu,japanese,spanish,japanese_vs_spanish,0.7625,0.713,0.734,0.734,0.713,0.02100000000000002,0.7235,0.02849999999999997
qwen,mmlu,qwen|mmlu,russian,spanish,russian_vs_spanish,0.7615,0.7335,0.734,0.734,0.7335,0.0004999999999999449,0.73375,0.02749999999999997
qwen,truthfulqa,qwen|truthfulqa,chinese,japanese,chinese_vs_japanese,0.7503,0.7552,0.683,0.7552,0.683,0.07219999999999993,0.7191000000000001,-0.0049000000000000155
qwen,truthfulqa,qwen|truthfulqa,chinese,russian,chinese_vs_russian,0.7662,0.7552,0.7136,0.7552,0.7136,0.04159999999999997,0.7343999999999999,0.01100000000000001
qwen,truthfulqa,qwen|truthfulqa,chinese,spanish,chinese_vs_spanish,0.776,0.7552,0.7319,0.7552,0.7319,0.023299999999999987,0.7435499999999999,0.02080000000000004
qwen,truthfulqa,qwen|truthfulqa,english,chinese,english_vs_chinese,0.7834,0.7442,0.7552,0.7552,0.7442,0.01100000000000001,0.7497,0.028200000000000003
qwen,truthfulqa,qwen|truthfulqa,english,japanese,english_vs_japanese,0.7625,0.7442,0.683,0.7442,0.683,0.06119999999999992,0.7136,0.018299999999999983
qwen,truthfulqa,qwen|truthfulqa,english,russian,english_vs_russian,0.7723,0.7442,0.7136,0.7442,0.7136,0.03059999999999996,0.7289,0.028100000000000014
qwen,truthfulqa,qwen|truthfulqa,english,spanish,english_vs_spanish,0.7589,0.7442,0.7319,0.7442,0.7319,0.012299999999999978,0.73805,0.014700000000000046
qwen,truthfulqa,qwen|truthfulqa,japanese,russian,japanese_vs_russian,0.7442,0.683,0.7136,0.7136,0.683,0.03059999999999996,0.6983,0.03059999999999996
qwen,truthfulqa,qwen|truthfulqa,japanese,spanish,japanese_vs_spanish,0.7283,0.683,0.7319,0.7319,0.683,0.048899999999999944,0.70745,-0.0036000000000000476
qwen,truthfulqa,qwen|truthfulqa,russian,spanish,russian_vs_spanish,0.7589,0.7136,0.7319,0.7319,0.7136,0.018299999999999983,0.72275,0.027000000000000024
